location,date,total_cases,total_deaths,DeathPercentage
Canada,4/30/2021,1228367,24220,1.971723434
United States,4/30/2021,32346971,576232,1.781409456
Canada,4/29/2021,1220108,24165,1.980562376
United States,4/29/2021,32289049,575194,1.781390341
Canada,4/28/2021,1210918,24110,1.991051417
United States,4/28/2021,32230850,574340,1.781957348
Canada,4/27/2021,1202672,24048,1.999547674
United States,4/27/2021,32175725,573381,1.782029776
Canada,4/26/2021,1195827,24011,2.007899136
United States,4/26/2021,32124869,572740,1.782855519
Canada,4/25/2021,1186991,23950,2.017706958
United States,4/25/2021,32077178,572266,1.784028508
Canada,4/24/2021,1180065,23912,2.026329058
United States,4/24/2021,32045113,571987,1.784942996
Canada,4/23/2021,1172697,23870,2.0354789
United States,4/23/2021,31991750,571263,1.78565724
Canada,4/22/2021,1164108,23810,2.045342872
United States,4/22/2021,31929351,570499,1.786754137
Canada,4/21/2021,1155053,23761,2.057135041
United States,4/21/2021,31862094,569555,1.787562989
Canada,4/20/2021,1146817,23698,2.06641513
United States,4/20/2021,31799237,568711,1.788442282
Canada,4/19/2021,1139591,23649,2.075218214
United States,4/19/2021,31737964,567886,1.789295621
Canada,4/18/2021,1129371,23611,2.09063275
United States,4/18/2021,31670031,567404,1.791611761
Canada,4/17/2021,1121162,23572,2.102461553
United States,4/17/2021,31628013,567086,1.79298649
Canada,4/16/2021,1113837,23531,2.112607141
United States,4/16/2021,31575640,566405,1.793803704
Canada,4/15/2021,1104508,23482,2.126014479
United States,4/15/2021,31495649,565539,1.795609927
Canada,4/14/2021,1094899,23428,2.139740743
United States,4/14/2021,31421360,564646,1.797013242
Canada,4/13/2021,1085905,23370,2.152121963
United States,4/13/2021,31345985,563688,1.798278153
Canada,4/12/2021,1078482,23336,2.163782057
United States,4/12/2021,31268107,562861,1.800112172
Canada,4/11/2021,1067764,23294,2.181568212
United States,4/11/2021,31197877,562390,1.802654713
Canada,4/10/2021,1060052,23270,2.195175331
United States,4/10/2021,31151497,562101,1.804410876
Canada,4/9/2021,1052560,23236,2.207570115
United States,4/9/2021,31084962,561388,1.805979367
Canada,4/8/2021,1043478,23196,2.222950556
United States,4/8/2021,31002264,560508,1.807958283
Canada,4/7/2021,1035242,23160,2.237158075
United States,4/7/2021,30922386,559496,1.80935585
Canada,4/6/2021,1027854,23132,2.250514178
United States,4/6/2021,30847348,556910,1.805373998
Canada,4/5/2021,1017130,23083,2.269424754
United States,4/5/2021,30786804,556056,1.806150453
Canada,4/4/2021,1008808,23060,2.285866091
United States,4/4/2021,30709125,555543,1.809048613
Canada,4/3/2021,1005296,23038,2.291663351
United States,4/3/2021,30674153,555254,1.810168972
Canada,4/2/2021,998208,23011,2.305230974
United States,4/2/2021,30611086,554520,1.811500579
Canada,4/1/2021,994549,22998,2.312404919
United States,4/1/2021,30541255,553570,1.812531934
Canada,3/31/2021,988808,22960,2.321987686
United States,3/31/2021,30462210,552495,1.813706228
Canada,3/30/2021,980080,22892,2.335727696
United States,3/30/2021,30395171,551407,1.814126987
Canada,3/29/2021,976327,22871,2.342555312
United States,3/29/2021,30333922,550525,1.814882362
Canada,3/28/2021,970065,22855,2.356027689
United States,3/28/2021,30264493,549816,1.816703158
Canada,3/27/2021,965882,22830,2.363642764
United States,3/27/2021,30221396,549294,1.817566601
Canada,3/26/2021,961567,22809,2.372065597
United States,3/26/2021,30158696,548507,1.818735797
Canada,3/25/2021,956542,22771,2.380554121
United States,3/25/2021,30081375,547356,1.819584377
Canada,3/24/2021,951438,22739,2.389961301
